日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2010-12-31,'000002,万  科Ａ,8.22,8.24,8.08,8.14,8.15,0.07,0.8589,0.6648,64189546,524313290.77,90380627992.0,79372976860.2
2010-12-30,'000002,万  科Ａ,8.15,8.3,8.04,8.27,8.3,-0.15,-1.8072,0.9838,94995195,773400426.55,89610963276.7,78697051266.5
2010-12-29,'000002,万  科Ａ,8.3,8.41,8.17,8.37,8.33,-0.03,-0.3601,0.8415,81251732,672563588.58,91260244809.4,80145463253.0
2010-12-28,'000002,万  科Ａ,8.33,8.86,8.3,8.72,8.75,-0.42,-4.8,0.9062,87505047,752995503.29,91590101115.9,80435145650.3
